cpu_usage,memory_usage,disk_usage,network_latency,application_state
51,56,0,6,good
92,45,68,8,good
14,7,72,15,good
71,9,36,13,good
60,72,82,2,good
20,66,71,20,good
82,10,95,1,good
86,11,12,15,good
74,9,83,7,good
74,24,99,18,good
87,48,42,10,good
99,48,36,15,good
23,88,93,5,good
2,10,73,11,good
21,61,94,8,good
52,35,24,8,good
1,38,92,6,good
87,52,87,15,good
29,89,20,15,good
37,77,40,5,good
1,55,72,13,good
63,0,41,14,good
59,55,41,11,good
20,3,1,20,good
32,29,67,12,good
75,11,7,20,good
57,34,95,1,good
21,76,60,3,good
88,51,13,8,good
48,30,76,12,good
90,86,20,15,good
58,67,23,3,good
41,51,49,8,good
91,79,81,19,good
59,6,44,20,good
79,21,63,6,good
14,92,63,18,good
61,74,25,11,good
61,55,31,12,good
46,96,56,2,good
61,57,52,5,good
50,92,32,4,good
54,63,51,9,good
63,11,94,13,good
2,6,17,13,good
100,54,34,15,good
50,61,11,2,good
6,89,50,13,good
20,72,88,7,good
72,97,94,17,good
38,76,9,8,good
17,54,51,18,good
3,35,33,15,good
88,88,66,15,good
59,23,38,5,good
13,43,7,2,good
8,16,95,16,good
89,1,28,5,good
52,12,21,6,good
1,30,83,12,good
83,92,69,5,good
91,27,60,20,good
59,59,42,8,good
70,26,48,11,good
43,14,28,14,good
7,94,80,17,good
46,78,30,10,good
34,32,52,2,good
77,19,33,3,good
80,41,37,13,good
35,11,56,17,good
49,100,100,3,good
3,72,3,10,good
1,22,1,8,good
5,71,11,4,good
53,95,34,13,good
3,13,69,7,good
53,90,71,7,good
92,24,20,16,bad
62,76,60,5,good
17,84,34,17,good
89,30,47,10,good
43,100,14,4,good
33,53,70,14,good
73,4,14,5,good
61,12,5,2,good
99,27,80,14,good
13,42,67,18,good
94,88,21,11,good
47,98,31,16,good
14,46,21,18,good
71,70,26,16,good
77,37,14,4,good
86,95,43,1,good
61,66,85,14,good
39,61,91,12,good
84,38,8,10,good
79,36,33,19,good
81,85,99,4,good
52,7,72,20,good
23,80,14,3,good
25,51,61,4,good
88,90,44,15,good
59,32,83,11,good
40,80,71,16,good
28,41,57,4,good
14,75,91,6,good
44,26,18,8,good
64,7,15,13,good
88,22,74,20,good
70,63,7,4,good
8,92,32,5,good
87,19,73,10,good
0,15,17,5,good
7,16,34,12,good
87,79,42,1,good
62,18,49,10,good
10,7,2,5,good
80,37,90,19,good
7,37,58,19,good
34,52,27,20,good
34,92,45,12,good
32,99,63,16,good
4,89,69,5,good
40,30,46,17,good
27,43,13,14,good
6,59,6,12,good
72,75,73,13,good
71,16,78,14,good
11,78,30,5,good
33,72,92,5,good
32,38,80,18,good
47,41,50,14,good
22,47,28,18,good
61,11,14,20,good
87,95,89,1,good
36,88,75,7,good
98,17,24,17,good
43,78,60,3,good
85,95,40,10,good
90,5,68,7,good
34,42,3,12,good
64,34,56,15,good
98,97,30,16,good
100,53,2,8,good
46,61,66,6,good
77,68,89,4,good
2,81,49,11,good
0,15,16,17,good
4,7,59,2,good
89,88,73,6,good
13,95,65,4,good
26,89,87,3,good
8,85,74,7,good
78,30,23,7,good
14,9,98,16,good
89,55,86,2,good
41,75,31,8,good
76,91,86,15,good
50,69,97,16,good
62,19,18,1,good
95,4,65,10,good
51,22,59,7,good
95,8,65,16,bad
3,57,14,10,good
93,58,84,12,good
100,92,34,17,good
22,79,68,13,good
14,53,26,12,good
42,45,87,15,good
28,21,6,14,good
35,63,5,19,good
12,7,32,19,good
31,19,57,14,good
70,50,48,18,good
58,77,16,5,good
85,38,41,20,good
27,36,93,6,good
65,49,71,18,good
41,33,39,14,good
44,74,45,4,good
61,32,70,1,good
56,30,69,13,good
5,53,67,11,good
27,43,0,3,good
27,33,78,17,good
43,70,94,18,good
83,61,88,10,good
29,22,96,16,good
61,45,51,13,good
74,55,34,20,good
91,6,68,12,good
88,88,4,4,good
61,60,99,8,good
96,2,16,12,good
0,37,52,19,good
26,83,51,15,good
61,33,13,16,good
76,43,28,12,good
2,29,7,20,good
69,16,97,18,good
71,58,0,12,good
26,9,28,16,good
8,98,35,20,good
61,83,50,11,good
36,17,36,20,good
96,44,92,14,good
50,90,68,2,good
43,58,52,13,good
23,61,95,14,good
78,58,51,6,good
58,48,87,12,good
31,99,82,7,good
95,62,11,4,good
87,86,51,7,good
51,31,0,13,good
61,9,6,11,good
57,10,16,8,good
51,69,97,19,good
11,61,42,2,good
38,46,70,18,good
1,33,16,10,good
2,99,58,6,good
100,100,2,4,good
55,16,28,19,good
80,53,21,14,good
58,75,37,14,good
1,84,53,18,good
1,39,92,17,good
91,18,49,18,good
53,66,68,18,good
86,81,29,5,good
100,52,22,9,good
95,63,84,1,good
96,82,89,4,good
0,46,46,7,good
18,5,20,11,good
1,15,19,14,good
52,71,22,10,good
43,17,67,19,good
89,51,20,8,good
31,47,20,3,good
69,42,0,8,good
31,38,14,18,good
67,48,16,5,good
54,11,50,20,good
74,9,62,11,good
55,70,13,9,good
16,54,58,19,good
37,0,82,12,good
23,48,49,5,good
68,35,33,16,good
97,20,5,13,good
69,36,48,6,good
85,23,5,16,good
10,54,68,18,good
15,24,6,17,good
96,6,96,12,good
72,80,76,1,good
58,92,50,7,good
69,93,0,14,good
79,70,12,18,good
92,96,42,1,good
2,70,26,20,good
19,23,70,10,good
58,10,2,15,good
35,72,57,11,good
18,11,88,4,good
89,34,96,15,good
66,62,16,16,good
18,67,44,15,good
19,99,77,17,good
95,91,100,11,good
70,56,57,18,good
51,12,55,16,good
32,22,53,15,good
39,82,86,11,good
38,100,87,13,good
81,38,28,18,good
0,87,53,8,good
10,79,26,9,good
91,96,44,11,good
56,11,86,17,good
88,33,30,1,good
49,70,35,11,good
22,74,80,7,good
30,30,60,8,good
93,92,36,19,good
41,61,66,4,good
98,12,35,4,good
6,30,4,19,good
15,1,45,9,good
89,14,78,17,good
59,56,51,18,good
1,74,48,1,good
0,33,5,14,good
47,67,9,4,good
11,74,95,10,good
68,28,22,14,good
36,65,16,7,good
31,15,83,12,good
8,38,43,16,good
98,76,40,5,good
18,36,14,11,good
47,80,43,4,good
79,20,57,13,good
2,43,85,8,good
19,18,49,7,good
23,70,51,11,good
53,7,69,11,good
32,76,67,17,good
23,100,62,14,good
74,65,57,2,good
71,40,22,20,good
35,74,43,8,good
37,87,82,2,good
83,69,94,15,good
98,60,43,5,good
88,25,51,6,good
98,70,66,17,bad
24,82,27,8,good
92,69,66,19,good
17,28,77,5,good
81,65,17,19,good
65,18,26,14,good
53,67,50,10,good
34,57,59,13,good
79,69,73,5,good
60,56,48,7,good
40,36,14,10,good
99,60,82,11,good
32,91,72,3,good
67,29,67,13,good
32,70,14,2,good
13,72,50,4,good
20,24,47,3,good
47,96,71,15,good
19,64,0,4,good
7,5,6,4,good
6,17,52,15,good
66,9,30,6,good
16,91,17,5,good
32,10,11,12,good
47,96,47,7,good
75,64,29,3,good
58,76,96,7,good
85,100,6,12,good
21,83,91,15,good
29,64,2,19,good
37,51,62,6,good
50,66,5,8,good
53,81,94,6,good
7,77,14,3,good
26,30,70,5,good
26,90,42,9,good
97,16,93,16,good
20,54,90,16,good
29,92,80,9,good
96,35,17,18,good
27,100,21,13,good
63,25,60,11,good
96,52,60,10,good
68,16,52,10,good
60,85,25,6,good
47,24,90,16,good
18,1,39,12,good
3,85,87,4,good
34,4,7,5,good
63,3,20,2,good
48,35,92,19,good
16,5,42,1,good
43,20,20,4,good
91,76,2,12,good
29,100,30,2,good
92,88,26,12,good
45,25,26,16,good
5,54,72,2,good
98,38,56,17,good
36,83,96,2,good
23,32,32,4,good
92,13,89,6,good
45,55,91,7,good
52,99,43,15,good
94,80,42,20,good
98,20,30,12,good
59,45,64,5,good
96,15,83,14,good
62,15,75,16,good
84,83,16,11,good
31,28,14,12,good
86,91,33,19,good
32,7,79,17,good
66,87,3,7,good
17,2,71,9,good
24,88,97,14,good
94,18,88,20,good
53,96,78,12,good
57,65,27,15,good
66,78,72,12,good
45,85,1,13,good
23,73,16,9,good
31,81,57,7,good
46,21,73,1,good
85,45,8,10,good
22,90,30,6,good
65,12,65,15,good
26,32,87,15,good
1,4,61,9,good
89,89,18,13,good
16,76,80,1,good
32,26,73,9,good
8,77,54,3,good
42,23,27,9,good
47,66,91,20,good
38,62,49,15,good
92,93,64,7,good
41,98,2,4,good
25,47,78,20,good
98,62,51,17,good
49,77,9,4,good
24,11,20,19,good
23,27,36,5,good
12,43,14,16,good
59,92,86,3,good
6,42,77,11,good
56,16,78,15,good
35,39,73,19,good
44,48,8,14,good
19,84,43,16,good
64,56,38,6,good
7,86,4,5,good
15,83,24,17,good
13,63,55,16,good
75,74,89,2,good
86,56,63,11,good
14,97,71,4,good
91,73,85,6,good
97,73,51,7,good
65,69,88,17,good
31,99,75,8,good
86,87,8,1,good
62,75,9,15,good
85,42,9,20,good
50,22,72,12,good
24,26,61,15,good
57,57,89,15,good
62,36,98,9,good
61,5,90,16,good
21,64,59,2,good
57,5,94,15,good
57,49,18,15,good
85,21,37,7,good
48,87,5,13,good
51,24,14,17,good
41,78,92,11,good
69,89,46,10,good
14,71,44,1,good
53,50,4,14,good
59,87,77,5,good
100,47,52,8,good
96,69,65,1,good
7,98,61,7,good
52,64,22,2,good
59,59,43,7,good
4,45,51,7,good
67,35,45,9,good
5,57,18,4,good
95,75,87,7,good
93,37,83,20,good
46,10,46,18,good
98,11,90,13,good
54,41,51,11,good
39,38,23,9,good
51,70,16,14,good
15,10,88,8,good
12,35,45,14,good
29,51,63,17,good
18,30,94,14,good
16,32,27,5,good
62,12,49,10,good
18,17,63,6,good
91,40,27,10,good
57,57,85,11,good
54,55,55,6,good
89,23,58,10,good
100,72,4,14,good
89,30,53,20,good
61,54,43,3,good
22,9,41,7,good
8,59,71,2,good
11,1,91,7,good
0,14,56,17,good
57,2,46,13,good
0,42,75,9,good
33,30,24,13,good
95,69,43,15,good
47,66,14,13,good
88,55,50,17,good
0,62,52,8,good
15,74,33,9,good
60,14,76,9,good
63,91,7,8,good
62,9,76,16,good
68,37,99,20,good
21,46,69,7,good
92,56,95,17,good
66,49,20,7,good
75,70,6,6,good
25,14,89,5,good
15,17,78,17,good
50,81,55,8,good
100,87,48,1,good
85,1,41,16,good
56,83,22,17,good
28,97,51,3,good
77,42,78,13,good
91,25,52,8,good
68,70,15,16,good
46,37,95,7,good
93,93,36,15,good
61,41,17,2,good
68,4,19,2,good
75,10,45,10,good
15,64,1,5,good
89,33,86,4,good
89,0,93,15,good
47,82,62,13,good
84,1,2,17,good
38,84,45,1,good
99,19,48,18,good
32,60,0,15,good
93,86,21,14,good
100,20,92,9,good
22,87,13,12,good
9,67,91,5,good
68,11,84,2,good
99,21,44,7,good
33,19,95,9,good
51,81,5,18,good
94,0,64,4,good
9,29,20,2,good
18,96,3,1,good
57,23,2,12,good
95,13,29,13,good
0,35,30,14,good
68,68,33,5,good
3,74,82,3,good
15,23,19,4,good
23,59,86,17,good
79,94,53,19,good
1,54,24,11,good
91,76,14,8,good
31,79,37,12,good
90,23,22,18,bad
83,76,51,18,good
23,23,65,9,good
11,53,56,5,good
49,25,56,17,good
34,65,78,13,good
32,79,51,6,good
32,37,34,14,good
60,64,73,15,good
50,74,13,14,good
42,50,90,4,good
100,34,13,18,good
11,42,98,1,good
66,28,32,12,good
64,36,51,9,good
32,80,0,10,good
39,57,33,18,good
73,53,18,17,good
42,38,23,19,good
43,41,3,4,good
28,27,35,16,good
12,28,76,7,good
11,42,57,9,good
94,2,31,8,good
45,9,8,7,good
1,58,79,10,good
34,13,66,8,good
86,75,19,17,good
80,46,73,12,good
89,41,61,14,good
7,93,57,12,good
92,31,21,2,good
25,31,66,12,good
73,41,74,14,good
89,31,88,7,good
33,25,47,13,good
6,0,7,4,good
67,55,72,1,good
57,1,14,17,good
74,80,31,3,good
28,29,52,17,good
35,70,66,8,good
88,51,3,3,good
20,90,29,10,good
35,8,12,2,good
9,21,20,4,good
100,33,40,14,good
72,48,18,11,good
23,0,47,14,good
63,72,85,13,good
98,83,62,4,good
48,52,19,2,good
98,82,63,2,good
35,99,36,11,good
81,39,30,5,good
95,44,73,9,good
23,67,17,20,good
22,8,19,17,good
61,21,81,12,good
95,17,10,18,good
36,75,85,3,good
11,42,43,5,good
54,38,81,20,good
12,72,63,14,good
22,5,33,16,good
88,82,86,19,good
98,47,64,9,good
29,6,54,17,good
16,79,73,7,good
61,68,0,10,good
83,15,37,4,good
88,0,8,10,good
85,36,94,3,good
12,82,70,9,good
58,36,16,13,good
18,80,98,1,good
48,63,100,15,good
99,89,51,15,good
11,85,17,11,good
60,61,62,10,good
18,71,32,7,good
75,60,3,1,good
8,32,86,7,good
70,65,74,5,good
27,29,51,16,good
77,19,8,8,good
94,59,63,2,good
51,81,29,8,good
82,73,7,14,good
15,23,4,4,good
68,3,75,15,good
98,36,62,7,good
11,3,0,20,good
24,76,14,8,good
51,88,88,11,good
84,76,81,2,good
99,17,37,9,good
52,87,41,6,good
22,65,45,1,good
15,47,52,3,good
56,32,25,10,good
38,57,60,5,good
52,82,66,12,good
41,72,53,1,good
57,27,21,9,good
38,34,25,13,good
13,9,82,19,good
94,64,59,7,good
4,41,38,16,good
34,84,35,8,good
86,8,20,19,good
92,59,40,7,good
74,14,47,4,good
17,98,25,10,good
75,56,62,1,good
8,68,76,17,good
73,21,35,13,good
57,63,23,19,good
16,40,89,13,good
6,86,20,9,good
45,70,17,5,good
12,55,14,1,good
39,22,78,2,good
41,24,5,11,good
8,90,42,4,good
49,5,30,9,good
26,33,27,5,good
65,62,7,5,good
4,8,28,8,good
28,59,20,2,good
36,48,80,7,good
37,96,87,17,good
82,50,57,11,good
7,59,59,15,good
64,69,49,3,good
85,36,99,13,good
16,30,30,18,good
70,97,46,20,good
88,40,33,20,good
44,61,1,3,good
3,92,66,2,good
35,57,93,5,good
69,13,71,20,good
30,35,51,5,good
18,35,6,13,good
60,78,75,8,good
53,7,18,16,good
38,25,89,18,good
90,35,91,16,good
73,47,14,1,good
89,84,77,8,good
18,27,47,2,good
38,67,13,5,good
66,61,2,15,good
44,79,49,14,good
12,85,92,3,good
91,75,53,7,good
57,79,5,4,good
19,50,48,11,good
91,41,22,12,good
71,100,91,15,good
60,28,77,6,good
38,81,77,1,good
0,9,19,18,good
2,38,76,14,good
76,81,90,7,good
91,0,59,10,good
61,38,98,9,good
62,20,44,2,good
24,64,60,8,good
55,14,55,1,good
32,3,1,20,good
37,59,44,2,good
5,60,39,7,good
57,19,23,16,good
43,9,28,4,good
44,86,66,17,good
31,33,67,4,good
44,47,65,3,good
60,32,83,9,good
46,97,53,15,good
20,60,52,20,good
79,9,78,3,good
84,53,48,12,good
74,83,31,15,good
100,64,60,20,good
35,76,41,8,good
98,0,0,12,good
18,4,62,13,good
19,79,34,15,good
56,14,50,11,good
17,27,70,17,good
46,94,44,12,good
48,22,76,20,good
13,16,64,18,good
14,97,13,16,good
30,12,92,3,good
0,13,2,9,good
53,10,23,7,good
2,27,64,19,good
15,41,47,5,good
86,95,9,19,good
56,98,12,10,good
74,60,99,20,good
11,63,72,12,good
73,30,13,8,good
95,80,99,3,good
15,72,9,19,good
71,9,39,11,good
75,7,22,8,good
23,20,98,13,good
27,76,54,10,good
7,58,62,18,good
91,49,70,12,good
35,68,41,7,good
89,69,98,11,good
7,29,65,10,good
57,94,78,3,good
59,16,72,7,good
49,74,46,4,good
27,19,80,8,good
91,47,51,8,good
100,72,17,6,good
40,1,78,13,good
99,36,17,12,good
63,0,23,3,good
26,3,22,6,good
62,99,11,19,good
16,53,22,11,good
72,24,20,4,good
32,2,63,15,good
83,8,89,2,good
76,85,71,15,good
91,86,93,17,good
28,75,33,2,good
12,73,1,7,good
45,33,68,16,good
34,42,30,5,good
5,73,96,16,good
81,93,67,19,good
68,21,69,2,good
46,69,86,15,good
24,1,18,4,good
65,93,71,2,good
9,65,12,10,good
55,31,64,5,good
29,15,5,18,good
4,75,70,4,good
32,0,26,1,good
64,71,78,18,good
17,47,51,20,good
95,49,97,6,good
48,12,86,20,good
10,14,47,20,good
84,52,87,14,good
25,43,78,10,good
62,7,98,18,good
88,73,67,9,good
85,45,43,12,good
58,68,100,10,good
26,18,16,19,good
48,37,94,6,good
76,10,37,14,good
32,42,9,8,good
97,19,53,14,good
98,19,90,11,good
0,20,5,16,good
20,81,5,20,good
54,56,51,6,good
5,49,14,15,good
91,73,67,15,good
80,97,56,14,good
68,25,55,12,good
94,29,6,2,bad
4,72,50,8,good
2,30,57,19,good
52,41,63,14,good
22,67,25,5,good
100,60,57,9,good
52,60,30,13,good
36,69,65,9,good
73,77,91,14,good
73,67,12,5,good
82,89,17,2,good
16,16,93,7,good
84,18,74,16,good
77,50,12,11,good
72,69,23,11,good
0,62,56,12,good
50,92,28,13,good
44,74,55,8,good
76,79,53,16,good
3,29,4,1,good
61,24,34,13,good
64,74,18,11,good
31,70,54,4,good
33,25,76,4,good
91,55,68,15,good
